专业代码,专业代码与名称,学科分类,学科代码,一级学科代码,,国家线A线总分,国家线A线单科=100,国家线A线单科>100,国家线B线总分,国家线B线单科=100,国家线B线单科>100,学位类型
070501,070501自然地理学,理学,07,0705,05,280,37,56,270,34,51,学硕
070502,070502人文地理学,理学,07,0705,05,280,37,56,270,34,51,学硕
070503,070503地图学与地理信息系统,理学,07,0705,05,280,37,56,270,34,51,学硕
070600,070600大气科学,理学,07,0706,06,280,37,56,270,34,51,学硕
070601,070601气象学,理学,07,0706,06,280,37,56,270,34,51,学硕
070602,070602大气物理学与大气环境,理学,07,0706,06,280,37,56,270,34,51,学硕
070700,070700海洋科学,理学,07,0707,07,280,37,56,270,34,51,学硕
070701,070701物理海洋学,理学,07,0707,07,280,37,56,270,34,51,学硕
070702,070702海洋化学,理学,07,0707,07,280,37,56,270,34,51,学硕
070703,070703海洋生物学,理学,07,0707,07,280,37,56,270,34,51,学硕
070704,070704海洋地质,理学,07,0707,07,280,37,56,270,34,51,学硕
070800,070800地球物理学,理学,07,0708,08,280,37,56,270,34,51,学硕
070801,070801固体地球物理学,理学,07,0708,08,280,37,56,270,34,51,学硕
070802,070802空间物理学,理学,07,0708,08,280,37,56,270,34,51,学硕
070900,070900地质学,理学,07,0709,09,280,37,56,270,34,51,学硕
070901,070901矿物学、岩石学、矿床学,理学,07,0709,09,280,37,56,270,34,51,学硕
070902,070902地球化学,理学,07,0709,09,280,37,56,270,34,51,学硕
070903,070903古生物学与地层学(含：古人类学),理学,07,0709,09,280,37,56,270,34,51,学硕
070904,070904构造地质学,理学,07,0709,09,280,37,56,270,34,51,学硕
070905,070905第四纪地质学,理学,07,0709,09,280,37,56,270,34,51,学硕
071000,071000生物学,理学,07,0710,10,280,37,56,270,34,51,学硕
071001,071001植物学,理学,07,0710,10,280,37,56,270,34,51,学硕
071002,071002动物学,理学,07,0710,10,280,37,56,270,34,51,学硕
071003,071003生理学,理学,07,0710,10,280,37,56,270,34,51,学硕
071004,071004水生生物学,理学,07,0710,10,280,37,56,270,34,51,学硕
071005,071005微生物学,理学,07,0710,10,280,37,56,270,34,51,学硕
071006,071006神经生物学,理学,07,0710,10,280,37,56,270,34,51,学硕
071007,071007遗传学,理学,07,0710,10,280,37,56,270,34,51,学硕
071008,071008发育生物学,理学,07,0710,10,280,37,56,270,34,51,学硕
071009,071009细胞生物学,理学,07,0710,10,280,37,56,270,34,51,学硕
071010,071010生物化学与分子生物学,理学,07,0710,10,280,37,56,270,34,51,学硕
071011,071011生物物理学,理学,07,0710,10,280,37,56,270,34,51,学硕
071100,071100系统科学,理学,07,0711,11,280,37,56,270,34,51,学硕
071101,071101系统理论,理学,07,0711,11,280,37,56,270,34,51,学硕
071102,071102系统分析与集成,理学,07,0711,11,280,37,56,270,34,51,学硕
071200,071200科学技术史(分学科，可授理学、工学、农学、医学学位),理学,07,0712,12,280,37,56,270,34,51,学硕
071300,071300生态学,理学,07,0713,13,280,37,56,270,34,51,学硕
071301,071301动物生态学,理学,07,0713,13,280,37,56,270,34,51,学硕
071302,071302植物生态学,理学,07,0713,13,280,37,56,270,34,51,学硕
071303,071303微生物生态学,理学,07,0713,13,280,37,56,270,34,51,学硕
071304,071304生态系统生态学,理学,07,0713,13,280,37,56,270,34,51,学硕
071305,071305景观生态学,理学,07,0713,13,280,37,56,270,34,51,学硕
071306,071306修复生态学,理学,07,0713,13,280,37,56,270,34,51,学硕
071307,071307可持续生态学,理学,07,0713,13,280,37,56,270,34,51,学硕
071400,071400统计学(可授理学、经济学学位),理学,07,0714,14,280,37,56,270,34,51,学硕
071401,071401数理统计,理学,07,0714,14,280,37,56,270,34,51,学硕
071402,071402应用统计,理学,07,0714,14,280,37,56,270,34,51,学硕
071403,071403社会经济统计,理学,07,0714,14,280,37,56,270,34,51,学硕
071404,071404金融统计与风险管理和精算,理学,07,0714,14,280,37,56,270,34,51,学硕
080100,080100力学(可授工学、理学学位),工学,08,0801,01,253,34,51,243,31,47,学硕
080101,080101一般力学与力学基础,工学,08,0801,01,253,34,51,243,31,47,学硕
080102,080102固体力学,工学,08,0801,01,253,34,51,243,31,47,学硕
080103,080103流体力学,工学,08,0801,01,253,34,51,243,31,47,学硕
080104,080104工程力学,工学,08,0801,01,253,34,51,243,31,47,学硕
080200,080200机械工程,工学,08,0802,02,263,37,56,253,34,51,学硕
080201,080201机械制造及其自动化,工学,08,0802,02,263,37,56,253,34,51,学硕
080202,080202机械电子工程,工学,08,0802,02,263,37,56,253,34,51,学硕
080203,080203机械设计及理论,工学,08,0802,02,263,37,56,253,34,51,学硕
080204,080204车辆工程,工学,08,0802,02,263,37,56,253,34,51,学硕
080300,080300光学工程,工学,08,0803,03,263,37,56,253,34,51,学硕
080400,080400仪器科学与技术,工学,08,0804,04,263,37,56,253,34,51,学硕
080401,080401精密仪器及机械,工学,08,0804,04,263,37,56,253,34,51,学硕
080402,080402测试计量技术及仪器,工学,08,0804,04,263,37,56,253,34,51,学硕
080500,080500材料科学与工程,工学,08,0805,05,263,37,56,253,34,51,学硕
080501,080501材料物理与化学,工学,08,0805,05,263,37,56,253,34,51,学硕
080502,080502材料学,工学,08,0805,05,263,37,56,253,34,51,学硕
080503,080503材料加工工程,工学,08,0805,05,263,37,56,253,34,51,学硕
080600,080600冶金工程,工学,08,0806,06,253,34,51,243,31,47,学硕
080601,080601冶金物理化学,工学,08,0806,06,253,34,51,243,31,47,学硕
080602,080602钢铁冶金,工学,08,0806,06,253,34,51,243,31,47,学硕
080603,080603有色金属冶金,工学,08,0806,06,253,34,51,243,31,47,学硕
080700,080700动力工程及工程热物理,工学,08,0807,07,253,34,51,243,31,47,学硕
080701,080701工程热物理,工学,08,0807,07,253,34,51,243,31,47,学硕
080702,080702热能工程,工学,08,0807,07,253,34,51,243,31,47,学硕
080703,080703动力机械及工程,工学,08,0807,07,253,34,51,243,31,47,学硕
080704,080704流体机械及工程,工学,08,0807,07,253,34,51,243,31,47,学硕
080705,080705制冷及低温工程,工学,08,0807,07,253,34,51,243,31,47,学硕
080706,080706化工过程机械,工学,08,0807,07,253,34,51,243,31,47,学硕
080800,080800电气工程,工学,08,0808,08,263,37,56,253,34,51,学硕
080801,080801电机与电器,工学,08,0808,08,263,37,56,253,34,51,学硕
080802,080802电力系统及其自动化,工学,08,0808,08,263,37,56,253,34,51,学硕
080803,080803高电压与绝缘技,工学,08,0808,08,263,37,56,253,34,51,学硕
080804,080804电力电子与电力传动,工学,08,0808,08,263,37,56,253,34,51,学硕
080805,080805电工理论与新技术,工学,08,0808,08,263,37,56,253,34,51,学硕
080900,080900电子科学与技术(可授工学、理学学位),工学,08,0809,09,263,37,56,253,34,51,学硕
080901,080901物理电子学,工学,08,0809,09,263,37,56,253,34,51,学硕
080902,080902电路与系统,工学,08,0809,09,263,37,56,253,34,51,学硕
080903,080903微电子学与固体电子学,工学,08,0809,09,263,37,56,253,34,51,学硕
080904,080904电磁场与微波技术,工学,08,0809,09,263,37,56,253,34,51,学硕
081000,081000信息与通信工程,工学,08,0810,10,263,37,56,253,34,51,学硕
081001,081001通信与信息系统,工学,08,0810,10,263,37,56,253,34,51,学硕
081002,081002信号与信息处理,工学,08,0810,10,263,37,56,253,34,51,学硕
081100,081100控制科学与工程,工学,08,0811,11,263,37,56,253,34,51,学硕
081101,081101控制理论与控制工程,工学,08,0811,11,263,37,56,253,34,51,学硕
081102,081102检测技术与自动化装置,工学,08,0811,11,263,37,56,253,34,51,学硕
081103,081103系统工程,工学,08,0811,11,263,37,56,253,34,51,学硕
081104,081104模式识别与智能系统,工学,08,0811,11,263,37,56,253,34,51,学硕
081105,081105导航、制导与控制,工学,08,0811,11,263,37,56,253,34,51,学硕
081200,081200计算机科学与技术(可授工学、理学学位),工学,08,0812,12,263,37,56,253,34,51,学硕
081201,081201计算机系统结构,工学,08,0812,12,263,37,56,253,34,51,学硕
081202,081202计算机软件与理论,工学,08,0812,12,263,37,56,253,34,51,学硕
081203,081203计算机应用技术,工学,08,0812,12,263,37,56,253,34,51,学硕
081300,081300建筑学,工学,08,0813,13,263,37,56,253,34,51,学硕
081301,081301建筑历史与理论,工学,08,0813,13,263,37,56,253,34,51,学硕
081302,081302建筑设计及其理论,工学,08,0813,13,263,37,56,253,34,51,学硕
081303,081303城市规划与设计(含：风景园林规划与设计),工学,08,0813,13,263,37,56,253,34,51,学硕
081304,081304建筑技术科学,工学,08,0813,13,263,37,56,253,34,51,学硕
081400,081400土木工程,工学,08,0814,14,263,37,56,253,34,51,学硕
081401,081401岩土工程,工学,08,0814,14,263,37,56,253,34,51,学硕
081402,081402结构工程,工学,08,0814,14,263,37,56,253,34,51,学硕
081403,081403市政工程,工学,08,0814,14,263,37,56,253,34,51,学硕
081404,081404供热、供燃气、通风及空调工程,工学,08,0814,14,263,37,56,253,34,51,学硕
081405,081405防灾减灾工程及防护工程,工学,08,0814,14,263,37,56,253,34,51,学硕
081406,081406桥梁与隧道工程,工学,08,0814,14,263,37,56,253,34,51,学硕
081500,081500水利工程,工学,08,0815,15,253,34,51,243,31,47,学硕
081501,081501水文学及水资源,工学,08,0815,15,253,34,51,243,31,47,学硕
081502,081502水力学及河流动力学,工学,08,0815,15,253,34,51,243,31,47,学硕
081503,081503水工结构工程,工学,08,0815,15,253,34,51,243,31,47,学硕
081504,081504水利水电工程,工学,08,0815,15,253,34,51,243,31,47,学硕
081505,081505港口、海岸及近海工程,工学,08,0815,15,253,34,51,243,31,47,学硕
081600,081600测绘科学与技术,工学,08,0816,16,263,37,56,253,34,51,学硕
081601,081601大地测量学与测量工程,工学,08,0816,16,263,37,56,253,34,51,学硕
081602,081602摄影测量与遥感,工学,08,0816,16,263,37,56,253,34,51,学硕
081603,081603地图制图学与地理信息工程,工学,08,0816,16,263,37,56,253,34,51,学硕
081700,081700化学工程与技术,工学,08,0817,17,263,37,56,253,34,51,学硕
081701,081701化学工程,工学,08,0817,17,263,37,56,253,34,51,学硕
081702,081702化学工艺,工学,08,0817,17,263,37,56,253,34,51,学硕
081703,081703生物化工,工学,08,0817,17,263,37,56,253,34,51,学硕
081704,081704应用化学,工学,08,0817,17,263,37,56,253,34,51,学硕
081705,081705工业催化,工学,08,0817,17,263,37,56,253,34,51,学硕
081800,081800地质资源与地质工程,工学,08,0818,18,253,34,51,243,31,47,学硕
081801,081801矿产普查与勘探,工学,08,0818,18,253,34,51,243,31,47,学硕
081802,081802地球探测与信息技术,工学,08,0818,18,253,34,51,243,31,47,学硕
081803,081803地质工程,工学,08,0818,18,253,34,51,243,31,47,学硕
081900,081900矿业工程,工学,08,0819,19,263,37,56,253,34,51,学硕
081901,081901采矿工程,工学,08,0819,19,263,37,56,253,34,51,学硕
081902,081902矿物加工工程,工学,08,0819,19,263,37,56,253,34,51,学硕
081903,081903安全技术及工程,工学,08,0819,19,263,37,56,253,34,51,学硕
082000,082000石油与天然气工程,工学,08,0820,20,263,37,56,253,34,51,学硕
082001,082001油气井工程,工学,08,0820,20,263,37,56,253,34,51,学硕
082002,082002油气田开发工程,工学,08,0820,20,263,37,56,253,34,51,学硕
082003,082003油气储运工程,工学,08,0820,20,263,37,56,253,34,51,学硕
082100,082100纺织科学与工程,工学,08,0821,21,263,37,56,253,34,51,学硕
082101,082101纺织工程,工学,08,0821,21,263,37,56,253,34,51,学硕
082102,082102纺织材料与纺织品设计,工学,08,0821,21,263,37,56,253,34,51,学硕
082103,082103纺织化学与染整工程,工学,08,0821,21,263,37,56,253,34,51,学硕
082104,082104服装设计与工程,工学,08,0821,21,263,37,56,253,34,51,学硕
082200,082200轻工技术与工程,工学,08,0822,22,263,37,56,253,34,51,学硕
082201,082201制浆造纸工程,工学,08,0822,22,263,37,56,253,34,51,学硕
082202,082202制糖工程,工学,08,0822,22,263,37,56,253,34,51,学硕
082203,082203发酵工程,工学,08,0822,22,263,37,56,253,34,51,学硕
082204,082204皮革化学与工程,工学,08,0822,22,263,37,56,253,34,51,学硕
082300,082300交通运输工程,工学,08,0823,23,263,37,56,253,34,51,学硕
082301,082301道路与铁道工程,工学,08,0823,23,263,37,56,253,34,51,学硕
082302,082302交通信息工程及控制,工学,08,0823,23,263,37,56,253,34,51,学硕
082303,082303交通运输规划与管理,工学,08,0823,23,263,37,56,253,34,51,学硕
082304,082304载运工具运用工程,工学,08,0823,23,263,37,56,253,34,51,学硕
082400,082400船舶与海洋工程,工学,08,0824,24,263,37,56,253,34,51,学硕
082401,082401船舶与海洋结构物设计制造,工学,08,0824,24,263,37,56,253,34,51,学硕
082402,082402轮机工程,工学,08,0824,24,263,37,56,253,34,51,学硕
082403,082403水声工程,工学,08,0824,24,263,37,56,253,34,51,学硕
082500,082500航空宇航科学与技术,工学,08,0825,25,253,34,51,243,31,47,学硕
082501,082501飞行器设计,工学,08,0825,25,253,34,51,243,31,47,学硕
082502,082502航空宇航推进理论与工程,工学,08,0825,25,253,34,51,243,31,47,学硕
082503,082503航空宇航制造工程,工学,08,0825,25,253,34,51,243,31,47,学硕
082504,082504人机与环境工程,工学,08,0825,25,253,34,51,243,31,47,学硕
082600,082600兵器科学与技术,工学,08,0826,26,253,34,51,243,31,47,学硕
082601,082601武器系统与运用工程,工学,08,0826,26,253,34,51,243,31,47,学硕
082602,082602兵器发射理论与技术,工学,08,0826,26,253,34,51,243,31,47,学硕
082603,082603火炮、自动武器与弹药工程,工学,08,0826,26,253,34,51,243,31,47,学硕
082604,082604军事化学与烟火技术,工学,08,0826,26,253,34,51,243,31,47,学硕
082700,082700核科学与技术,工学,08,0827,27,253,34,51,243,31,47,学硕
082701,082701核能科学与工程,工学,08,0827,27,253,34,51,243,31,47,学硕
082702,082702核燃料循环与材料,工学,08,0827,27,253,34,51,243,31,47,学硕
082703,082703核技术及应用,工学,08,0827,27,253,34,51,243,31,47,学硕
082704,082704辐射防护及环境保护,工学,08,0827,27,253,34,51,243,31,47,学硕
082800,082800农业工程,工学,08,0828,28,253,34,51,243,31,47,学硕
082801,082801农业机械化工程,工学,08,0828,28,253,34,51,243,31,47,学硕
082802,082802农业水土工程,工学,08,0828,28,253,34,51,243,31,47,学硕
082803,082803农业生物环境与能源工程,工学,08,0828,28,253,34,51,243,31,47,学硕
082804,082804农业电气化与自动化,工学,08,0828,28,253,34,51,243,31,47,学硕
082900,082900林业工程082901森林工程,工学,08,0829,29,263,37,56,253,34,51,学硕
082901,,,,,29,,,,,,,
082902,082902木材科学与技术,工学,08,0829,29,263,37,56,253,34,51,学硕
