专业代码,专业代码与名称,学科分类,学科代码,一级学科代码,,国家线A线总分,国家线A线单科=100,国家线A线单科>100,国家线B线总分,国家线B线单科=100,国家线B线单科>100,学位类型,A全日制调剂,A全日制一志愿,B全日制调剂,B全日制一志愿,A非全日制调剂,A非全日制一志愿,B非全日制调剂,B非全日制一志愿
030503,030503马克思主义中国化研究,法学,03,0305,05,321,44,66,311,41,62,学硕, 364.31 , 372.70 , 365.85 , 354.68 , 346.94 , 355.50 ,,
030504,030504国外马克思主义研究,法学,03,0305,05,321,44,66,311,41,62,学硕, 368.25 , 373.75 , 360.00 ,,,,,
030505,030505思想政治教育,法学,03,0305,05,321,44,66,311,41,62,学硕, 363.80 , 370.24 , 371.92 , 354.48 , 356.14 , 349.00 , 351.00 , 306.50 
030506,030506中国近现代史基本问题研究,法学,03,0305,05,321,44,66,311,41,62,学硕, 365.30 , 366.88 , 345.00 , 341.21 ,,, 369.50 , 339.00 
030600,030600公安学,法学,03,0306,06,321,44,66,311,41,62,学硕, 405.03 , 383.65 ,,,,,,
030601,030601公安学基础理论,法学,03,0306,06,321,44,66,311,41,62,学硕,,,,,,,,
030602,030602公安管理学,法学,03,0306,06,321,44,66,311,41,62,学硕,,,,,,,,
030603,030603治安学,法学,03,0306,06,321,44,66,311,41,62,学硕,,,,,,,,
030604,030604侦查学,法学,03,0306,06,321,44,66,311,41,62,学硕,,,,,,,,
030605,030605犯罪学,法学,03,0306,06,321,44,66,311,41,62,学硕,,,,,,,,
030606,030606公安情报学,法学,03,0306,06,321,44,66,311,41,62,学硕,,,,,,,,
030607,030607国内安全保卫学,法学,03,0306,06,321,44,66,311,41,62,学硕,,,,,,,,
030608,030608边防管理学,法学,03,0306,06,321,44,66,311,41,62,学硕,,,,,,,,
030609,030609涉外警务学,法学,03,0306,06,321,44,66,311,41,62,学硕,,,,,,,,
030610,030610警务指挥与战术,法学,03,0306,06,321,44,66,311,41,62,学硕,,,,,,,,
030611,030611警卫学,法学,03,0306,06,321,44,66,311,41,62,学硕,,,,,,,,
040100,040100教育学,教育学,04,0401,01,337,47,141,327,44,132,学硕, 349.59 , 351.92 , 348.41 , 342.69 ,,,,
040101,040101教育学原理,教育学,04,0401,01,337,47,141,327,44,132,学硕, 354.08 , 367.55 , 338.29 , 337.26 ,,,,
040102,040102课程与教学论,教育学,04,0401,01,337,47,141,327,44,132,学硕, 350.02 , 362.10 , 335.52 , 332.78 ,, 358.00 ,,
040103,040103教育史,教育学,04,0401,01,337,47,141,327,44,132,学硕, 355.46 , 360.24 , 335.33 , 335.00 ,,,,
040104,040104比较教育学,教育学,04,0401,01,337,47,141,327,44,132,学硕, 352.89 , 359.70 , 332.63 , 361.00 ,,,,
040105,040105学前教育学,教育学,04,0401,01,337,47,141,327,44,132,学硕, 357.62 , 366.78 , 343.15 , 340.96 , 351.00 , 351.11 , 335.60 , 293.40 
040106,040106高等教育学,教育学,04,0401,01,337,47,141,327,44,132,学硕, 355.06 , 363.03 , 348.83 , 338.81 ,,,,
040107,040107成人教育学,教育学,04,0401,01,337,47,141,327,44,132,学硕, 344.08 , 347.54 ,,,,,,
040108,040108职业技术教育学,教育学,04,0401,01,337,47,141,327,44,132,学硕, 346.12 , 355.25 , 336.00 , 356.33 ,,,,
040109,040109特殊教育学,教育学,04,0401,01,337,47,141,327,44,132,学硕,, 345.92 ,,,,,,
040110,040110教育技术学(可授教育学、理学学位),教育学,04,0401,01,337,47,141,327,44,132,学硕, 344.68 , 350.22 , 336.00 , 318.50 ,,,,
040200,040200心理学,教育学,04,0402,02,337,47,141,327,44,132,学硕, 343.37 , 350.23 , 351.23 , 348.71 ,,,,
040201,040201基础心理学(可授教育学、理学学位),教育学,04,0402,02,337,47,141,327,44,132,学硕, 360.67 , 368.20 , 346.50 , 337.33 ,,,,
040202,040202发展与教育心理学,教育学,04,0402,02,337,47,141,327,44,132,学硕, 362.86 , 365.79 , 347.56 , 336.72 ,,,,
040203,040203应用心理学,教育学,04,0402,02,337,47,141,327,44,132,学硕, 334.74 , 363.56 , 352.33 , 332.50 ,,,,
040300,040300体育学,教育学,04,0403,03,281,35,105,271,32,96,学硕, 344.22 , 343.53 , 333.56 , 303.46 ,,,,
040301,040301体育人文社会学,教育学,04,0403,03,281,35,105,271,32,96,学硕, 357.24 , 278.94 , 336.86 , 306.71 ,,,,
040302,040302运动人体科学(可授教育学、理学、医学学位),教育学,04,0403,03,281,35,105,271,32,96,学硕, 371.45 , 313.05 ,, 323.00 ,,,,
040303,040303体育教育训练学,教育学,04,0403,03,281,35,105,271,32,96,学硕, 343.24 , 274.43 , 328.25 , 305.41 ,,,,
040304,040304民族传统体育学,教育学,04,0403,03,281,35,105,271,32,96,学硕, 320.50 , 274.96 , 326.00 , 277.00 ,,,,
050100,050100中国语言文学,文学,05,0501,01,355,53,80,345,50,75,学硕, 369.75 , 381.28 , 368.27 , 357.42 ,,,,
050101,050101文艺学,文学,05,0501,01,355,53,80,345,50,75,学硕, 363.97 , 378.98 , 362.11 , 353.48 ,,,,
050102,050102语言学及应用语言学,文学,05,0501,01,355,53,80,345,50,75,学硕, 370.12 , 373.05 , 364.68 , 351.90 ,,,,
050103,050103汉语言文字学,文学,05,0501,01,355,53,80,345,50,75,学硕, 368.27 , 374.77 , 363.40 , 380.00 ,,,,
050104,050104中国古典文献学,文学,05,0501,01,355,53,80,345,50,75,学硕, 365.46 , 377.12 , 365.31 , 356.77 ,,,,
050105,050105中国古代文学,文学,05,0501,01,355,53,80,345,50,75,学硕, 367.96 , 369.91 , 366.92 , 350.86 ,,,,
050106,050106中国现当代文学,文学,05,0501,01,355,53,80,345,50,75,学硕, 370.45 , 368.11 , 368.57 , 359.32 ,, 397.90 ,,
050107,050107中国少数民族语言文学(分语族),文学,05,0501,01,355,53,80,345,50,75,学硕, 370.22 , 387.78 , 354.57 , 340.84 ,,,,
050108,050108比较文学与世界文学,文学,05,0501,01,355,53,80,345,50,75,学硕, 371.16 , 383.49 , 356.14 , 350.63 ,,,,
050200,050200外国语言文学,文学,05,0502,02,355,53,80,345,50,75,学硕, 364.38 , 385.81 , 365.71 , 377.77 ,,,,
050201,050201英语语言文学,文学,05,0502,02,355,53,80,345,50,75,学硕, 378.52 , 384.19 , 317.39 , 369.36 ,,,,
050202,050202俄语语言文学,文学,05,0502,02,355,53,80,345,50,75,学硕, 369.35 , 390.14 , 369.17 , 386.50 ,,,,
050203,050203法语语言文学,文学,05,0502,02,355,53,80,345,50,75,学硕, 397.15 , 379.42 ,,,,,,
050204,050204德语语言文学,文学,05,0502,02,355,53,80,345,50,75,学硕, 394.36 , 390.17 ,,,,,,
050205,050205日语语言文学,文学,05,0502,02,355,53,80,345,50,75,学硕, 376.06 , 390.57 , 371.40 , 363.40 ,,,,
050206,050206印度语言文学,文学,05,0502,02,355,53,80,345,50,75,学硕,, 405.00 ,,,,,,
050207,050207西班牙语语言文学,文学,05,0502,02,355,53,80,345,50,75,学硕, 356.63 , 389.50 ,,,,,,
050208,050208阿拉伯语语言文学,文学,05,0502,02,355,53,80,345,50,75,学硕, 385.60 , 400.56 ,, 324.00 ,,,,
050209,050209欧洲语言文学,文学,05,0502,02,355,53,80,345,50,75,学硕, 383.80 , 383.25 ,,,,,,
050210,050210亚非语言文学,文学,05,0502,02,355,53,80,345,50,75,学硕, 385.13 , 383.79 ,,,,,,
050211,050211外国语言学及应用语言学,文学,05,0502,02,355,53,80,345,50,75,学硕, 376.59 , 382.30 , 375.52 , 361.16 ,,,,
050300,050300新闻传播学,文学,05,0503,03,355,53,80,345,50,75,学硕, 347.99 , 373.94 , 373.23 , 350.65 ,,,,
050301,050301新闻学,文学,05,0503,03,355,53,80,345,50,75,学硕, 380.33 , 383.36 ,,,,,,
050302,050302传播学,文学,05,0503,03,355,53,80,345,50,75,学硕, 379.67 , 383.68 ,,,,,,
060100,060100考古学,历史学,06,0601,01,321,43,129,311,40,120,学硕, 351.91 , 376.52 , 326.67 , 386.33 ,,,,
060101,060101考古学史和考古学理论,历史学,06,0601,01,321,43,129,311,40,120,学硕,,,,,,,,
060102,060102史前考古,历史学,06,0601,01,321,43,129,311,40,120,学硕,,,,,,,,
060103,060103夏商周考古,历史学,06,0601,01,321,43,129,311,40,120,学硕,,,,,,,,
060104,060104秦汉魏晋南北朝考古,历史学,06,0601,01,321,43,129,311,40,120,学硕,,,,,,,,
060105,060105唐宋元明清考古,历史学,06,0601,01,321,43,129,311,40,120,学硕,,,,,,,,
060106,060106科技考古,历史学,06,0601,01,321,43,129,311,40,120,学硕,,,,,,,,
060107,060107文化遗产与博物馆,历史学,06,0601,01,321,43,129,311,40,120,学硕, 378.80 ,,,,,,,
060108,060108古代文字与铭刻,历史学,06,0601,01,321,43,129,311,40,120,学硕,,,,,,,,
060109,060109专门考古,历史学,06,0601,01,321,43,129,311,40,120,学硕,,,,,,,,
060200,060200中国史,历史学,06,0602,02,321,43,129,311,40,120,学硕, 345.04 , 358.96 , 339.43 , 323.10 ,, 385.00 ,,
060201,060201历史地理学,历史学,06,0602,02,321,43,129,311,40,120,学硕,,,,,,,,
060202,060202历史文献学,历史学,06,0602,02,321,43,129,311,40,120,学硕, 343.75 , 340.50 ,,,,,,
060203,060203史学理论及中国史学史,历史学,06,0602,02,321,43,129,311,40,120,学硕,,,,,,,,
060204,060204中国古代史,历史学,06,0602,02,321,43,129,311,40,120,学硕, 369.00 , 366.38 , 323.22 , 343.00 ,,,,
060205,060205中国近代史,历史学,06,0602,02,321,43,129,311,40,120,学硕,, 335.20 ,,,,,,
060206,060206中国现代史,历史学,06,0602,02,321,43,129,311,40,120,学硕, 372.67 , 361.00 ,,,,,,
060207,060207专门史,历史学,06,0602,02,321,43,129,311,40,120,学硕, 336.00 , 363.00 ,,,,,,
060300,060300世界史,历史学,06,0603,03,321,43,129,311,40,120,学硕, 341.46 , 359.70 , 321.71 , 354.31 ,,,,
060301,060301世界史学理论与史学史,历史学,06,0603,03,321,43,129,311,40,120,学硕,,,,,,,,
060302,060302世界古代中古史,历史学,06,0603,03,321,43,129,311,40,120,学硕,,,,,,,,
060303,060303世界近现代史,历史学,06,0603,03,321,43,129,311,40,120,学硕,,,,,,,,
060304,060304世界地区国别史,历史学,06,0603,03,321,43,129,311,40,120,学硕,,,,,,,,
060305,060305专门史与整体史,历史学,06,0603,03,321,43,129,311,40,120,学硕,,,,,,,,
070100,070100数学,理学,07,0701,01,280,37,56,270,34,51,学硕, 323.52 , 342.05 , 292.27 , 319.17 , 353.00 , 343.50 ,,
070101,070101基础数学,理学,07,0701,01,280,37,56,270,34,51,学硕, 320.10 , 346.73 , 303.73 , 311.23 ,,,,
070102,070102计算数学,理学,07,0701,01,280,37,56,270,34,51,学硕, 315.72 , 338.20 , 304.31 , 311.85 ,,,,
070103,070103概率论与数理统计,理学,07,0701,01,280,37,56,270,34,51,学硕, 328.90 , 341.78 , 314.50 , 318.10 ,,,,
070104,070104应用数学,理学,07,0701,01,280,37,56,270,34,51,学硕, 318.64 , 338.27 , 297.85 , 321.40 ,,,,
070105,070105运筹学与控制论,理学,07,0701,01,280,37,56,270,34,51,学硕, 310.45 , 343.14 , 279.50 , 300.14 ,,,,
070200,070200物理学,理学,07,0702,02,280,37,56,270,34,51,学硕, 324.31 , 350.78 , 282.26 , 341.80 , 324.00 , 299.00 ,,
070201,070201理论物理,理学,07,0702,02,280,37,56,270,34,51,学硕, 320.74 , 357.59 , 308.93 , 328.66 ,,,,
070202,070202粒子物理与原子核物理,理学,07,0702,02,280,37,56,270,34,51,学硕, 331.17 , 343.26 , 336.00 , 332.00 ,,,,
070203,070203原子与分子物理,理学,07,0702,02,280,37,56,270,34,51,学硕, 328.36 , 348.36 , 317.54 , 353.62 ,,,,
070204,070204等离子体物理,理学,07,0702,02,280,37,56,270,34,51,学硕,,, 310.33 , 341.25 ,,,,
070205,070205凝聚态物理,理学,07,0702,02,280,37,56,270,34,51,学硕, 320.90 , 359.09 , 289.18 , 351.81 ,,,,
070206,070206声学,理学,07,0702,02,280,37,56,270,34,51,学硕, 322.41 , 365.75 ,,,,,,
070207,070207光学,理学,07,0702,02,280,37,56,270,34,51,学硕, 328.26 , 353.38 , 295.39 , 319.32 ,,,,
070208,070208无线电物理,理学,07,0702,02,280,37,56,270,34,51,学硕, 329.67 , 341.16 , 292.73 , 320.85 ,,,,
070300,070300化学,理学,07,0703,03,280,37,56,270,34,51,学硕, 287.17 , 344.54 , 316.02 , 322.97 ,, 316.25 , 310.25 , 297.50 
070301,070301无机化学,理学,07,0703,03,280,37,56,270,34,51,学硕, 317.07 , 351.23 , 292.86 , 322.11 ,,,,
070302,070302分析化学,理学,07,0703,03,280,37,56,270,34,51,学硕, 314.14 , 336.74 , 292.40 , 328.69 ,,,,
070303,070303有机化学,理学,07,0703,03,280,37,56,270,34,51,学硕, 321.13 , 345.06 , 303.85 , 330.83 ,,,,
070304,070304物理化学(含∶化学物理),理学,07,0703,03,280,37,56,270,34,51,学硕, 323.53 , 336.18 , 288.27 , 328.14 ,,,,
070305,070305高分子化学与物理,理学,07,0703,03,280,37,56,270,34,51,学硕, 318.40 , 347.24 ,, 327.81 ,,,,
070400,070400天文学,理学,07,0704,04,280,37,56,270,34,51,学硕, 318.82 , 350.48 ,,,,,,
070401,070401天体物理,理学,07,0704,04,280,37,56,270,34,51,学硕,, 319.50 ,,,,,,
070402,070402天体测量与天体力学,理学,07,0704,04,280,37,56,270,34,51,学硕, 305.91 ,,,,,,,
070500,070500地理学,理学,07,0705,05,280,37,56,270,34,51,学硕, 336.97 , 347.59 , 368.00 , 316.17 ,, 241.00 ,,
070501,070501自然地理学,理学,07,0705,05,280,37,56,270,34,51,学硕, 333.02 , 344.62 , 335.20 , 341.53 ,,,, 328.00 
070502,070502人文地理学,理学,07,0705,05,280,37,56,270,34,51,学硕, 345.31 , 352.50 , 328.94 , 343.01 ,,,, 300.50 
070503,070503地图学与地理信息系统,理学,07,0705,05,280,37,56,270,34,51,学硕, 341.23 , 351.39 , 363.60 , 330.94 ,,,, 290.00 
070600,070600大气科学,理学,07,0706,06,280,37,56,270,34,51,学硕, 350.33 , 364.76 , 346.50 , 355.40 ,, 378.50 ,,
